year,country,Export,Import
2000,Australia,57553284929,59228334319
2000,Belgium,1.50E+11,1.41E+11
2000,Brazil,45150168347,32567681333
2000,Canada,1.93E+11,1.24E+11
2000,China,1.92E+11,1.76E+11
2000,France,1.12E+11,1.15E+11
2000,Germany,1.20E+11,1.57E+11
2000,India,18629802221,35127391480
2000,Italy,63978632749,76704377707
2000,Japan,34082901690,1.57E+11
2001,Australia,57059235666,53273812061
2001,Belgium,1.53E+11,1.44E+11
2001,Brazil,48262398576,30757755123
2001,Canada,1.86E+11,1.19E+11
2001,China,1.89E+11,1.72E+11
2001,France,1.13E+11,1.12E+11
2001,Germany,1.36E+11,1.65E+11
2001,India,19611186051,31580033299
2001,Italy,64891396505,75758543011
2001,Japan,31428715745,1.44E+11
2002,Australia,58299990679,60284402797
2002,Belgium,1.80E+11,1.65E+11
2002,Brazil,50361283229,27240657054
2002,Canada,1.80E+11,1.24E+11
2002,China,2.09E+11,1.82E+11
2002,France,1.20E+11,1.18E+11
2002,Germany,1.44E+11,1.72E+11
2002,India,22724086454,35349192239
2002,Italy,69979359299,79085457091
2002,Japan,30784899697,1.39E+11
2003,Australia,61502399381,73949809279
2003,Belgium,2.14E+11,1.96E+11
2003,Brazil,61483321235,28840852443
2003,Canada,1.99E+11,1.37E+11
2003,China,2.52E+11,2.26E+11
2003,France,1.43E+11,1.42E+11
2003,Germany,1.67E+11,2.00E+11
2003,India,27119135695,43943357598
2003,Italy,78841848121,92552961014
2003,Japan,34331492172,1.62E+11
2004,Australia,76958731945,90953278534
2004,Belgium,2.60E+11,2.41E+11
2004,Brazil,82070099024,38353572741
2004,Canada,2.32E+11,1.54E+11
2004,China,3.04E+11,2.91E+11
2004,France,1.63E+11,1.71E+11
2004,Germany,2.03E+11,2.38E+11
2004,India,35994767323,61103602513
2004,Italy,91218911641,1.09E+11
2004,Japan,41064968445,1.95E+11
2005,Australia,94992135048,1.04E+11
2005,Belgium,2.86E+11,2.72E+11
2005,Brazil,98669476795,44288654274
2005,Canada,2.65E+11,1.80E+11
2005,China,3.57E+11,3.33E+11
2005,France,1.77E+11,1.96E+11
2005,Germany,2.28E+11,2.89E+11
2005,India,48897120869,86158670711
2005,Italy,98920512066,1.24E+11
2005,Japan,45203428227,2.37E+11
2006,Australia,1.13E+11,1.28E+11
2006,Belgium,3.14E+11,3.02E+11
2006,Brazil,1.15E+11,56396930018
2006,Canada,2.85E+11,2.03E+11
2006,China,4.22E+11,4.05E+11
2006,France,1.99E+11,2.26E+11
2006,Germany,2.76E+11,3.54E+11
2006,India,59330613171,1.10E+11
2006,Italy,1.10E+11,1.42E+11
2006,Japan,52549573388,2.79E+11
2007,Australia,1.32E+11,1.65E+11
2007,Belgium,3.70E+11,3.51E+11
2007,Brazil,1.36E+11,75709957538
2007,Canada,3.09E+11,2.24E+11
2007,China,5.01E+11,4.97E+11
2007,France,2.25E+11,2.58E+11
2007,Germany,3.19E+11,3.76E+11
2007,India,75300489433,1.30E+11
2007,Italy,1.31E+11,1.65E+11
2007,Japan,61138571791,3.05E+11
2008,Australia,1.79E+11,1.98E+11
2008,Belgium,4.04E+11,3.98E+11
2008,Brazil,1.70E+11,1.13E+11
2008,Canada,3.42E+11,2.43E+11
2008,China,5.87E+11,6.41E+11
2008,France,2.62E+11,3.14E+11
2008,Germany,3.71E+11,4.64E+11
2008,India,95655928773,2.01E+11
2008,Italy,1.45E+11,1.92E+11
2008,Japan,80453202550,4.18E+11
2009,Australia,1.46E+11,1.61E+11
2009,Belgium,3.20E+11,3.04E+11
2009,Brazil,1.34E+11,79275449126
2009,Canada,2.32E+11,1.91E+11
2009,China,5.06E+11,5.53E+11
2009,France,2.16E+11,2.42E+11
2009,Germany,3.11E+11,3.64E+11
2009,India,93488580938,1.60E+11
2009,Italy,1.16E+11,1.64E+11
2009,Japan,69813526887,2.71E+11
2010,Australia,2.02E+11,1.96E+11
2010,Belgium,3.53E+11,3.37E+11
2010,Brazil,1.78E+11,1.16E+11
2010,Canada,2.96E+11,2.34E+11
2010,China,6.56E+11,7.82E+11
2010,France,2.41E+11,2.72E+11
2010,Germany,3.39E+11,4.18E+11
2010,India,1.16E+11,2.20E+11
2010,Italy,1.33E+11,1.95E+11
2010,Japan,84819106842,3.48E+11
2011,Australia,2.59E+11,2.27E+11
2011,Belgium,4.14E+11,4.01E+11
2011,Brazil,2.27E+11,1.50E+11
2011,Canada,3.48E+11,2.72E+11
2011,China,8.24E+11,1.04E+12
2011,France,2.80E+11,3.34E+11
2011,Germany,4.01E+11,5.09E+11
2011,India,1.68E+11,2.99E+11
2011,Italy,1.58E+11,2.34E+11
2011,Japan,96386317798,4.53E+11
2012,Australia,2.46E+11,2.45E+11
2012,Belgium,3.90E+11,3.80E+11
2012,Brazil,2.14E+11,1.47E+11
2012,Canada,3.52E+11,2.78E+11
2012,China,9.04E+11,1.11E+12
2012,France,2.77E+11,3.26E+11
2012,Germany,3.95E+11,4.81E+11
2012,India,1.64E+11,3.21E+11
2012,Italy,1.60E+11,2.22E+11
2012,Japan,84712619605,4.81E+11
2013,Australia,2.44E+11,2.28E+11
2013,Belgium,4.47E+11,4.28E+11
2013,Brazil,2.15E+11,1.58E+11
2013,Canada,3.56E+11,2.79E+11
2013,China,9.77E+11,1.20E+12
2013,France,2.86E+11,3.26E+11
2013,Germany,4.05E+11,4.91E+11
2013,India,1.88E+11,3.06E+11
2013,Italy,1.62E+11,2.09E+11
2013,Japan,76570046018,4.47E+11
2014,Australia,2.32E+11,2.21E+11
2014,Belgium,4.12E+11,3.94E+11
2014,Brazil,1.99E+11,1.53E+11
2014,Canada,3.71E+11,2.79E+11
2014,China,1.02E+12,1.20E+12
2014,France,2.82E+11,3.16E+11
2014,Germany,4.12E+11,4.80E+11
2014,India,1.78E+11,2.91E+11
2014,Italy,1.64E+11,1.92E+11
2014,Japan,73393843231,4.22E+11
2015,Australia,1.81E+11,1.95E+11
2015,Belgium,3.45E+11,3.22E+11
2015,Brazil,1.70E+11,1.11E+11
2015,Canada,3.08E+11,2.49E+11
2015,China,9.73E+11,1.01E+12
2015,France,2.47E+11,2.56E+11
2015,Germany,3.69E+11,3.94E+11
2015,India,1.34E+11,2.19E+11
2015,Italy,1.37E+11,1.55E+11
2015,Japan,66651583257,2.71E+11
2016,Australia,1.82E+11,1.87E+11
2016,Belgium,3.45E+11,3.22E+11
2016,Brazil,1.66E+11,86414428808
2016,Canada,2.91E+11,2.39E+11
2016,China,9.01E+11,9.43E+11
2016,France,2.43E+11,2.47E+11
2016,Germany,3.66E+11,3.66E+11
2016,India,1.32E+11,1.88E+11
2016,Italy,1.39E+11,1.42E+11
2016,Japan,72952242368,2.52E+11
